Date,Cases
2020-01-26,1
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,1
2020-02-03,0
2020-02-04,0
2020-02-05,2
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,1
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,1
2020-02-21,1
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,1
2020-02-28,1
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,4
2020-03-04,6
2020-03-05,4
2020-03-06,6
2020-03-07,1
2020-03-08,3
2020-03-09,5
2020-03-10,11
2020-03-11,20
2020-03-12,12
2020-03-13,25
2020-03-14,12
2020-03-15,27
2020-03-16,46
2020-03-17,41
2020-03-18,60
2020-03-19,47
2020-03-20,62
2020-03-21,46
2020-03-22,43
2020-03-23,88
2020-03-24,59
2020-03-25,91
2020-03-26,62
2020-03-27,62
2020-03-28,37
2020-03-29,30
2020-03-30,82
2020-03-31,56
2020-04-01,47
2020-04-02,55
2020-04-03,31
2020-04-04,21
2020-04-05,13
2020-04-06,51
2020-04-07,40
2020-04-08,33
2020-04-09,34
2020-04-10,41
2020-04-11,28
2020-04-12,15
2020-04-13,30
2020-04-14,44
2020-04-15,14
2020-04-16,51
2020-04-17,25
2020-04-18,30
2020-04-19,15
2020-04-20,34
2020-04-21,63
2020-04-22,33
2020-04-23,37
2020-04-24,72
2020-04-25,61
2020-04-26,15
2020-04-27,58
2020-04-28,41
2020-04-29,26
2020-04-30,29
2020-05-01,23
2020-05-02,33
2020-05-03,21
2020-05-04,16
2020-05-05,24
2020-05-06,29
2020-05-07,21
2020-05-08,14
2020-05-09,8
2020-05-10,17
2020-05-11,10
2020-05-12,13
2020-05-13,16
2020-05-14,14
2020-05-15,21
2020-05-16,8
2020-05-17,11
2020-05-18,5
2020-05-19,19
2020-05-20,11
2020-05-21,22
2020-05-22,12
2020-05-23,4
2020-05-24,9
2020-05-25,8
2020-05-26,7
2020-05-27,10
2020-05-28,5
2020-05-29,11
2020-05-30,9
2020-05-31,16
2020-06-01,4
2020-06-02,23
2020-06-03,2
2020-06-04,4
2020-06-05,12
2020-06-06,7
2020-06-07,9
2020-06-08,10
2020-06-09,14
2020-06-10,12
2020-06-11,17
2020-06-12,14
2020-06-13,14
2020-06-14,9
2020-06-15,11
2020-06-16,19
2020-06-17,9
2020-06-18,5
2020-06-19,9
2020-06-20,6
2020-06-21,17
2020-06-22,11
2020-06-23,12
2020-06-24,21
2020-06-25,12
2020-06-26,9
2020-06-27,13
2020-06-28,3
2020-06-29,12
2020-06-30,17
2020-07-01,10
2020-07-02,9
2020-07-03,12
2020-07-04,16
2020-07-05,7
2020-07-06,10
2020-07-07,19
2020-07-08,18
2020-07-09,22
2020-07-10,25
2020-07-11,23
2020-07-12,20
2020-07-13,13
2020-07-14,19
2020-07-15,24
2020-07-16,33
2020-07-17,44
2020-07-18,19
2020-07-19,29
2020-07-20,33
2020-07-21,34
2020-07-22,32
2020-07-23,30
2020-07-24,30
2020-07-25,21
2020-07-26,21
2020-07-27,24
2020-07-28,47
2020-07-29,26
2020-07-30,39
2020-07-31,52
2020-08-01,29
2020-08-02,48
2020-08-03,28
2020-08-04,43
2020-08-05,46
2020-08-06,47
2020-08-07,52
2020-08-08,38
2020-08-09,43
2020-08-10,46
2020-08-11,87
2020-08-12,75
2020-08-13,91
2020-08-14,102
2020-08-15,89
2020-08-16,51
2020-08-17,77
2020-08-18,63
2020-08-19,86
2020-08-20,91
2020-08-21,117
2020-08-22,80
2020-08-23,81
2020-08-24,54
2020-08-25,58
2020-08-26,65
2020-08-27,125
2020-08-28,98
2020-08-29,114
2020-08-30,93
2020-08-31,58
2020-09-01,97
2020-09-02,89
2020-09-03,114
2020-09-04,136
2020-09-05,126
2020-09-06,108
2020-09-07,83
2020-09-08,89
2020-09-09,155
2020-09-10,120
2020-09-11,154
2020-09-12,118
2020-09-13,83
2020-09-14,59
2020-09-15,126
2020-09-16,179
2020-09-17,143
2020-09-18,122
2020-09-19,116
2020-09-20,130
2020-09-21,100
2020-09-22,83
