"fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality","type"
8.9,0.38,0.4,2.2,0.068,12,28,0.99486,3.27,0.75,12.6,7,"red"
7.8,0.21,0.34,11.9,0.039,55,140,0.9959,3.02,0.31,10.3,6,"white"
7.1,0.22,0.33,2.8,0.033,48,153,0.9899,3.15,0.38,12.7,7,"white"
7.1,0.17,0.4,14.55,0.047,47,156,0.99945,3.34,0.78,9.1,6,"white"
7.2,0.53,0.13,2,0.058,18,22,0.99573,3.21,0.68,9.9,6,"red"
6.6,0.23,0.3,14.9,0.051,33,118,0.99835,3.04,0.54,9,6,"white"
7.2,0.29,0.4,7.6,0.024,56,177,0.9928,3.04,0.32,11.5,6,"white"
11.5,0.18,0.51,4,0.104,4,23,0.9996,3.28,0.97,10.1,6,"red"
6.6,0.56,0.15,10,0.037,38,157,0.99642,3.28,0.52,9.4,5,"white"
6.7,0.34,0.43,1.6,0.041,29,114,0.99014,3.23,0.44,12.6,6,"white"
6.4,0.15,0.36,1.8,0.034,43,150,0.9922,3.42,0.69,11,8,"white"
7.5,0.28,0.78,12.1,0.041,53,161,0.99838,2.98,0.44,8.7,5,"white"
12.4,0.4,0.51,2,0.059,6,24,0.9994,3.04,0.6,9.3,6,"red"
5.2,0.645,0,2.15,0.08,15,28,0.99444,3.78,0.61,12.5,6,"red"
4.7,0.145,0.29,1,0.042,35,90,0.9908,3.76,0.49,11.3,6,"white"
10.7,0.46,0.39,2,0.061,7,15,0.9981,3.18,0.62,9.5,5,"red"
6.8,0.26,0.24,7.8,0.052,54,214,0.9961,3.13,0.47,8.9,5,"white"
6.8,0.32,0.3,3.3,0.029,15,80,0.99061,3.33,0.63,12.6,7,"white"
5.5,0.21,0.25,1.2,0.04,18,75,0.99006,3.31,0.56,11.3,6,"white"
6.9,0.25,0.3,4.1,0.054,23,116,0.994,2.99,0.38,9.4,6,"white"
7.8,0.6,0.14,2.4,0.086,3,15,0.9975,3.42,0.6,10.8,6,"red"
10,0.43,0.33,2.7,0.095,28,89,0.9984,3.22,0.68,10,5,"red"
6.4,0.57,0.02,1.8,0.067,4,11,0.997,3.46,0.68,9.5,5,"red"
7.7,0.715,0.01,2.1,0.064,31,43,0.99371,3.41,0.57,11.8,6,"red"
10.6,0.44,0.68,4.1,0.114,6,24,0.997,3.06,0.66,13.4,6,"red"
7.4,0.16,0.33,1.2,0.042,47,121,0.99198,3.04,0.68,10.5,7,"white"
6.3,0.38,0.17,8.8,0.08,50,212,0.99803,3.47,0.66,9.4,4,"white"
6.8,0.19,0.4,9.85,0.055,41,103,0.99532,2.98,0.56,10.5,6,"white"
8.4,0.57,0.44,10.7,0.051,46,195,0.9981,3.15,0.51,10.4,5,"white"
9,0.245,0.38,5.9,0.045,52,159,0.995,2.93,0.35,10.2,6,"white"
6.9,0.22,0.37,15,0.053,59,178,0.9992,3.37,0.82,9.5,7,"white"
6.2,0.255,0.24,1.7,0.039,138.5,272,0.99452,3.53,0.53,9.6,4,"white"
7.4,0.785,0.19,5.2,0.094,19,98,0.99713,3.16,0.52,9.6,6,"red"
7.2,0.34,0.44,4.2,0.047,51,144,0.991,3.01,0.76,12.3,6,"white"
8,0.19,0.3,2,0.053,48,140,0.994,3.18,0.49,9.6,6,"white"
7.8,0.18,0.46,13.6,0.052,38,118,0.998,3.15,0.5,10,6,"white"
6,0.19,0.71,1.5,0.152,9,55,0.9927,3.12,0.46,9.8,6,"white"
7.1,0.69,0.08,2.1,0.063,42,52,0.99608,3.42,0.6,10.2,6,"red"
5.8,0.22,0.29,0.9,0.034,34,89,0.98936,3.14,0.36,11.1,7,"white"
6.5,0.23,0.25,17.3,0.046,15,110,0.99828,3.15,0.42,9.2,6,"white"
6.8,0.24,0.38,8.3,0.045,50,185,0.99578,3.15,0.5,9.5,6,"white"
6.7,0.27,0.33,3.6,0.034,9,45,0.99144,3.08,0.4,10.5,6,"white"
10.9,0.32,0.52,1.8,0.132,17,44,0.99734,3.28,0.77,11.5,6,"red"
6.8,0.25,0.38,8.1,0.046,24,155,0.9956,3.33,0.59,10.2,6,"white"
6.6,0.34,0.28,1.3,0.035,32,90,0.9916,3.1,0.42,10.7,6,"white"
7.4,0.26,0.43,6,0.022,22,125,0.9928,3.13,0.55,11.5,6,"white"
6.9,0.29,0.16,6.8,0.034,65,212,0.9955,3.08,0.39,9,6,"white"
7.1,0.37,0.3,6.2,0.04,49,139,0.99021,3.17,0.27,13.6,6,"white"
8.1,0.2,0.3,1.3,0.036,7,49,0.99242,2.99,0.73,10.3,5,"white"
6,0.34,0.66,15.9,0.046,26,164,0.9979,3.14,0.5,8.8,6,"white"
10.4,0.64,0.24,2.8,0.105,29,53,0.9998,3.24,0.67,9.9,5,"red"
11.1,0.31,0.53,2.2,0.06,3,10,0.99572,3.02,0.83,10.9,7,"red"
6.7,0.31,0.3,2.4,0.038,30,83,0.98867,3.09,0.36,12.8,7,"white"
7.6,0.39,0.31,2.3,0.082,23,71,0.9982,3.52,0.65,9.7,5,"red"
6.4,0.29,0.18,15,0.04,21,116,0.99736,3.14,0.5,9.2,5,"white"
6.9,0.52,0.54,7.9,0.036,23,169,0.99267,3.26,0.47,12.2,6,"white"
6.1,0.24,0.32,9,0.031,41,134,0.99234,3.25,0.26,12.3,7,"white"
7.1,0.2,0.37,1.5,0.049,28,129,0.99226,3.15,0.52,10.8,5,"white"
6.3,0.76,0,2.9,0.072,26,52,0.99379,3.51,0.6,11.5,6,"red"
7.3,0.52,0.32,2.1,0.07,51,70,0.99418,3.34,0.82,12.9,6,"red"
6.8,0.28,0.4,22,0.048,48,167,1.001,2.93,0.5,8.7,5,"white"
6.4,0.24,0.49,5.8,0.053,25,120,0.9942,3.01,0.98,10.5,6,"white"
6.8,0.21,0.55,14.6,0.053,34,159,0.99805,2.93,0.44,9.2,5,"white"
5.9,0.65,0.23,5,0.035,20,128,0.99016,3.46,0.48,12.8,6,"white"
7.3,0.24,0.39,17.95,0.057,45,149,0.9999,3.21,0.36,8.6,5,"white"
7.6,0.17,0.27,4.6,0.05,23,98,0.99422,3.08,0.47,9.5,6,"white"
11.5,0.315,0.54,2.1,0.084,5,15,0.9987,2.98,0.7,9.2,6,"red"
6,0.28,0.27,15.5,0.036,31,134,0.99408,3.19,0.44,13,7,"white"
7.4,0.16,0.27,15.5,0.05,25,135,0.9984,2.9,0.43,8.7,7,"white"
7.9,0.58,0.23,2.3,0.076,23,94,0.99686,3.21,0.58,9.5,6,"red"
6.9,0.3,0.21,15.7,0.056,49,159,0.99827,3.11,0.48,9,5,"white"
7.2,0.48,0.07,5.5,0.089,10,18,0.99684,3.37,0.68,11.2,7,"red"
7.3,0.67,0.26,1.8,0.401,16,51,0.9969,3.16,1.14,9.4,5,"red"
6.3,0.33,0.27,1.2,0.046,34,175,0.9934,3.37,0.54,9.4,6,"white"
8.3,0.2,0.49,1.7,0.04,34,169,0.9938,3.05,0.37,10.1,5,"white"
6.7,0.22,0.39,1.2,0.049,26,152,0.99346,3.5,0.47,10,6,"white"
